n,nb_threads,mode,trial,sum,time_ms
25600,-1,python,4,17093.8137453347,39.010047912597656
256000,-1,numpy,0,170659.6056018891,1.3632774353027344
256000,-1,numpy,1,170659.6056018891,1.2390613555908203
256000,-1,numpy,2,170659.6056018891,1.2137889862060547
256000,-1,numpy,3,170659.6056018891,1.195669174194336
256000,-1,numpy,4,170659.6056018891,1.1992454528808594
256000,-1,pytorch,0,170659.6056018891,1.1448860168457031
256000,-1,pytorch,1,170659.6056018891,0.23436546325683594
256000,-1,pytorch,2,170659.6056018891,0.31185150146484375
256000,-1,pytorch,3,170659.6056018891,0.3120899200439453
256000,-1,pytorch,4,170659.6056018891,0.2071857452392578
2560000,-1,numpy,0,1706363.9840256264,6.859540939331055
2560000,-1,numpy,1,1706363.9840256264,6.782054901123047
2560000,-1,numpy,2,1706363.9840256264,6.790399551391602
2560000,-1,numpy,3,1706363.9840256264,6.797075271606445
2560000,-1,numpy,4,1706363.9840256264,6.702899932861328
2560000,-1,pytorch,0,1706363.9840256271,5.3081512451171875
2560000,-1,pytorch,1,1706363.9840256271,4.519462585449219
2560000,-1,pytorch,2,1706363.9840256271,4.40526008605957
2560000,-1,pytorch,3,1706363.9840256271,3.962993621826172
2560000,-1,pytorch,4,1706363.9840256271,4.667758941650391
25600000,-1,numpy,0,17065440.289806288,54.44622039794922
25600000,-1,numpy,1,17065440.289806288,54.434776306152344
25600000,-1,numpy,2,17065440.289806288,54.30936813354492
25600000,-1,numpy,3,17065440.289806288,54.45742607116699
25600000,-1,numpy,4,17065440.289806288,54.32629585266113
25600000,-1,pytorch,0,17065440.28980632,44.98457908630371
25600000,-1,pytorch,1,17065440.28980632,43.97892951965332
25600000,-1,pytorch,2,17065440.28980632,44.16298866271973
25600000,-1,pytorch,3,17065440.28980632,43.55025291442871
25600000,-1,pytorch,4,17065440.28980632,43.66564750671387
